geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
156,Capitol View Neighborhood Association,No,122,153,47.5,388,11,29.5,5.9,40.5,14.5,26.7,2.4,15.8,149,77,28.8,5.6,150,3,0,1966,1,23,143031,114,4,5,6,5,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",85,312,N/A,6.2
90,Bluff Acres Neighborhood Association,No,442,1848,38.5,3725,7.2,18.3,7.7,67.6,9.5,6.5,3.5,12.9,1748,876,20.1,5.3,1907,43,0,1981,14,20,176436,100,41,143,131,73,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.1,335,N/A,7.2
95,Mendota Hills Neighborhood Association,No,55,156,94.6,364,6.1,17.7,16.6,82.6,4.2,2.5,2.8,8,154,106,21.8,1.8,151,0,0,1959,2,6,176057,98,2,5,4,3,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,258,N/A,6.3
140,Vilas Neighborhood Association,No,195,724,48.3,1881,3.2,13.4,6.6,90.8,1,3.5,2,2.8,705,321,20.1,2,701,0,0,1918,0,68,434895,193,5,63,38,23,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",56.5,1246,N/A,6.4
102,Sheridan Triangle Neighborhood Association,No,37,192,83.4,340,4.2,14.5,17.3,91.9,3.3,0.8,2.3,1.6,180,83,17,1.9,179,0,0,1947,0,5,148381,123,0,8,2,3,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.6,258,N/A,5.5
159,Meadowood Neighborhood Association,No,374,1250,70.5,2962,7.9,25.3,12.6,68.6,13.7,3.9,3.7,10.2,1187,804,29.7,8.7,1281,48,0,1964,7,116,170035,102,36,109,182,24,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",96.6,927,N/A,7.3
104,Burke Heights Neighborhood Association,No,238,289,35.4,607,7.5,22.6,13.1,67.3,10.6,2.4,8,11.7,268,127,26.1,11.3,292,11,0,1973,3,12,161477,100,9,116,40,29,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",84,463,N/A,6
171,Allied Dunn's Marsh Neighborhood Association,No,195,920,29.7,2157,11.8,34.8,4.5,33.9,34.1,5.4,4.7,21.9,809,486,39.8,22.1,907,350,0,1964,3,81,128086,106,83,153,374,63,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.8,718,N/A,6.6
97,Sherman Neighborhood Association,Yes,410,1391,57.9,2695,7.8,19.4,11.3,72.4,13,4.5,3.5,6.6,1321,610,20.4,9.4,1244,164,0,1953,12,88,145987,116,38,166,176,114,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,3084,N/A,6.9
125,Blackhawk Homeowners Association,No,301,961,51.3,2168,6.6,29.3,5.3,83.4,1.5,10.5,2.6,2,880,551,37.4,5.1,979,0,0,2001,4,1,535821,127,0,10,2,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,4.1,0,N/A,7.3
1,City of Madison,No,49914,108541,49.3,232626,5.8,17.5,9.6,75.6,7.1,7.3,3.1,6.9,102236,47706,20.9,5.3,108888,6416,5192,1972,508,3976,234150,125,2186,9822,10427,11706,98.2,91.3,61.7,7.5,50.9,6.8,47.6,54093,4137,6,"H,P,B,G,C",60.4,11646,88.2,6.9
138,"Hill Farms, University Neighborhood Association",No,486,1426,62,2942,4.7,19,20.5,76.4,1.9,15.4,2.7,3.5,1385,790,22.2,3.3,984,4,0,1960,3,10,285033,128,4,41,6,27,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.5,1819,N/A,7.5
98,Brentwood Village Association,No,104,611,37,1128,8.2,20.7,14.9,63.2,20.3,2.4,4.6,9.5,559,257,22.4,12.5,568,27,0,1962,4,46,189105,101,14,50,80,14,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G",73,258,N/A,6.8
118,Wexford Village Homeowners Association,No,408,1231,60.7,2506,4.8,19.7,15.6,84.3,1.6,8.1,2.7,3.3,1164,658,22.5,1.8,1150,181,0,1992,3,7,295670,119,4,23,4,24,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",75.4,292,N/A,6.5
94,Berkley Oaks Neighborhood Association,No,128,655,31.3,1399,8.6,27.1,10.6,48.8,21.1,15.9,4.9,9.4,626,297,24.8,12.8,520,255,0,1966,7,47,135274,101,27,74,109,37,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,504,N/A,7.2
89,Whitetail Ridge,No,62,180,94.6,499,7,25.3,2.6,76.2,3.9,6.7,3,10.2,178,128,34.2,4.5,189,0,0,1995,1,8,174999,117,3,12,6,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,64.2,246,N/A,6.8
151,Bram's Addition Neighborhood Association,No,105,505,21.1,1282,8.4,30.9,8.5,24.4,34.7,12.2,3.8,24.9,481,233,31,13,426,157,0,1965,5,49,112920,93,45,66,176,77,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,1577,N/A,7.6
105,Eken Park Neighborhood Association,No,223,1366,50.4,2505,6.2,15,6.8,78.3,8.9,2,4,6.7,1282,518,16.3,5.5,1356,33,0,1948,9,89,136896,126,30,98,154,76,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.6,2247,N/A,7.7
161,Arbor Hills Neighborhood Association,No,209,469,77.7,1102,4.8,20.2,18.3,75.8,12,2.7,4.1,5.3,447,315,24.7,6.1,463,7,0,1970,3,19,245922,92,5,24,23,5,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",90.8,471,N/A,6.7
351,Rocky Bluff Neighborhood Association,N/A,124,635,32,1142,3.9,10.6,6.7,78.3,2.4,11.2,4,4.2,613,197,12.5,3.4,524,6,32,1957,1,8,228614,157,4,23,29,16,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.7,1667,N/A,6.3
164,Westhaven Trails Homeowners Assoc,No,158,835,45.7,1956,10,26.5,2.8,66.2,13.3,4.9,4.4,11.3,801,466,33.3,10.3,849,25,0,1990,2,25,191316,112,6,44,25,10,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,92.4,293,N/A,7
100,Carpenter-Ridgeway Neighborhood Association,No,642,510,42,1016,6.4,16.6,7,66.4,12.1,3.6,3.6,14.2,481,213,18.9,7.1,500,6,0,1967,4,28,149842,106,20,163,50,59,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",71.4,1608,N/A,7.5
128,Walnut Grove Homeowners Association,No,152,398,87.5,981,5.5,21.3,15.4,80.7,3.4,9.4,1.8,4.6,390,298,28.6,5.1,363,1,0,1977,2,2,272194,105,1,21,3,15,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,337,N/A,5.3
167,Country Grove Neighborhood Association,No,131,321,96.5,917,6,31.9,5.6,84.7,1.7,6.8,2.2,4.7,319,262,44.8,2.3,304,0,0,1996,1,0,299766,111,0,15,0,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,53.6,105,N/A,7.1
132,East Buckeye Neighborhood Association,No,353,766,90.3,2043,5.8,23,5.8,85.2,4.7,2.9,2,5.1,747,600,32.9,4.8,766,8,0,1985,10,14,192460,108,6,23,12,13,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,G,C",98.3,326,N/A,6.5
500,Dunn's Marsh Neighborhood Association,No,195,920,29.7,2157,11.8,34.8,4.5,33.9,34.1,5.4,4.7,21.9,809,486,39.8,22.1,907,350,0,1964,3,81,128086,106,83,153,374,63,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.8,718,N/A,6.6
142,Faircrest Neighborhood Association,No,206,558,56.9,1191,3.5,19.5,15.7,80.2,2.5,10.6,2.9,3.8,543,317,25.2,3.7,558,3,0,1965,0,5,283064,110,2,8,37,14,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",95.7,553,N/A,6.5
103,Hawthorne Neighborhood Association,No,254,538,55.5,1090,5.6,20.5,8.4,66,10.6,3.8,4.8,14.8,505,252,21.7,8.7,542,16,0,1955,6,39,130841,112,22,67,72,39,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",56.7,989,N/A,6.8
86,Westchester Gardens Neighborhood Association,No,522,522,61.2,1302,7.2,24.8,4.2,65.7,8.3,3.9,2.6,19.6,501,315,31,8.9,537,9,0,1986,4,18,171046,109,29,56,91,67,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",64.8,1052,N/A,7.3
106,Emerson East Neighborhood Association,No,326,1058,54.8,2042,7.3,16.7,5.7,83.9,6.2,1,3.2,5.6,1013,419,19.5,5.6,1054,81,0,1925,6,46,167032,138,23,117,169,156,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.4,2397,N/A,8
93,Nobel Park Neighborhood Association,No,64,167,82.3,353,6.3,20.7,9.4,72.2,7.4,1.4,5.1,13.9,158,87,22.2,4.4,167,6,0,1955,4,17,136268,113,1,17,25,12,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,484,N/A,8.6
112,Heritage Heights Community Association,No,412,850,94.6,2240,4.9,20.5,15.1,89.9,2.5,1.7,1.8,4,842,691,29,2.8,816,5,0,1975,10,7,190302,96,2,25,15,10,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",92.4,161,N/A,6.5
133,Glen Oak Hills Neighborhood Association,No,138,447,78.8,844,5.8,14.9,16.7,87.7,2.7,1.9,2.8,4.8,430,226,18.1,3,444,4,0,1956,1,7,185809,126,0,19,4,5,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,1350,N/A,6.2
84,Cherokee Park Neighborhood Association,No,209,839,97.7,1431,1.7,9,35.1,94.8,1.5,1.3,1,1.4,777,426,9.4,1.5,897,0,0,1983,5,7,270423,98,1,11,6,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,97.6,20,N/A,6.5
139,Glendale Neighborhood Association,No,536,988,74.5,2233,6.6,19.8,16.4,79.1,5.7,2.9,3.3,9.1,942,593,24.7,6.7,954,12,0,1958,8,44,179014,108,30,72,92,52,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",83.1,511,N/A,5.5
141,Greenbush Neighborhood Association,No,179,1148,25.5,2879,2.3,5.6,3.1,88.8,1.3,3.2,2.9,3.9,1116,280,9,1.7,1210,3,0,1918,3,134,243655,161,43,135,111,67,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G,C",99.1,2127,N/A,7.1
107,Hiestand Neighborhood Association,No,406,1473,25.8,3561,8.9,25.2,10.7,58.9,15.2,3.7,4.6,17.7,1422,826,32.3,15.1,1411,225,0,1979,7,36,168118,105,25,94,83,36,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",97.5,809,N/A,6.5
123,Lake Edge Neighborhood Association,No,458,1106,82.9,2380,6.1,18,12.9,88.5,2.5,0.5,3.1,5.4,1064,603,21.7,4.3,1133,4,0,1951,12,75,161903,115,11,73,57,43,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",86.4,571,N/A,4.7
120,Richmond Hill Homeowners Association,No,64,144,89.5,395,4.6,26.3,11.1,85.3,5.3,3.6,1.8,3.9,142,113,39.1,4.2,139,0,0,1997,2,0,342836,111,0,5,2,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,B,15.8,0,N/A,7.3
135,Junction Ridge Neighborhood Association,No,459,976,38.6,1628,3.7,10.5,30.9,80.6,1.5,13.2,1.5,3.2,904,347,10.3,2.1,924,0,0,1998,4,3,249431,115,3,47,13,62,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",64.4,522,N/A,7.1
155,Greentree Neighborhood Association,No,299,721,79,1841,5.8,22.7,15,76.7,10.9,3.3,3.4,5.7,697,539,29.7,7.8,719,18,0,1967,4,52,221014,95,12,42,43,14,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",99.6,702,N/A,7.2
130,Wisconsin Co-op Housing Association,No,74,156,96.5,355,1.9,21.2,16.2,91.9,0.4,2.9,3.3,1.4,152,104,28.3,5,177,1,0,1951,3,2,205973,127,0,3,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,100,553,N/A,6
166,Glacier Ridge Neighborhood Association,No,195,576,86.4,1385,11.1,27.9,2.7,83.3,2.8,8.1,1.6,4.3,550,363,39.7,3.1,579,0,0,2002,8,4,240105,117,0,10,2,5,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,6.8,0,N/A,7.5
153,Burr Oaks Neighborhood Association,No,249,768,19.9,1744,9.7,30.4,3.8,20.1,19.1,22.2,4.6,34,645,362,35.3,13.4,880,121,0,1962,10,76,156427,100,64,130,283,155,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.9,1885,N/A,6.5
91,Lake View Hill Neighborhood Association,No,246,514,71.9,1192,5.5,22,12.9,69.4,15.2,3.8,2.7,8.9,482,314,26.1,6.9,516,13,0,1961,4,15,170915,97,15,59,81,21,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",82.2,504,N/A,6.8
108,Worthington Park Neighborhood Association,No,48,288,22.8,701,11.5,38.6,2.5,30.7,47,9.2,3.6,9.5,247,156,45.8,30.1,247,52,0,1959,0,16,119198,115,21,34,109,17,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,C",98.1,1294,N/A,6.2
110,McClellan Park Neighborhood Association,No,550,1020,64.5,2227,9,22.3,21.1,81.7,6.7,3.9,3.7,4,920,518,27.5,5.2,1100,5,0,2005,14,7,232081,119,2,31,18,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,B,2.7,0,N/A,7.9
