geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
1,City of Madison,No,50090.8,108554,49.3,232659,5.8,17.5,9.6,75.6,7.1,7.3,3.1,6.9,102250,47714,20.9,5.3,108101,6416,5189,1972,474,3847,232926,123.85,2058,9582,10467,11202,61.3,7.2,51.4,5.9,48.2,53958,4382,6.2,"H,P,B,G,C",63.1,12200,87.6,6.8
148,Bay Creek Neighborhood Association,No,368.2,1316,44.9,2401,4.8,14.8,11.1,83.6,5,2.7,4.2,4.6,1266,494,15.7,3.2,1326,173,0,1947,2,47,214226,143.58,16,141,58,107,suppressed,suppressed,suppressed,suppressed,suppressed,63810,0,4.7,"H,P,B,G,C",98.7,1386,87.2,6.5
105,Eken Park Neighborhood Association,No,223.5,1366,50.4,2505,6.2,15,6.8,78.3,8.9,2,4,6.7,1282,518,16.3,5.5,1358,33,0,1948,12,55,133792,123.22,40,88,163,66,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.6,2341,N/A,6.7
149,Waunona Neighborhood Association,Yes,190,499,62.5,1027,6.4,20.8,14.5,71,11.4,5,2.6,10,466,266,22.9,7.6,342,13,0,1959,1,6,326710,160.14,6,13,12,2,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",83.4,417,N/A,7.4
126,Capitol Neighborhoods,No,456,8002,10.8,13843,0.7,1.4,5.2,82,5.8,5.2,2.7,4.3,7298,742,1.4,0.4,8090,744,0,1969,4,543,260786,156.27,172,768,1134,369,suppressed,suppressed,suppressed,suppressed,suppressed,24593,257,6,"P,B,G,C",99.1,5348,61.3,7
176,Dudgeon-Monroe Neighborhood Association,No,309,1254,73.5,3176,4.7,18.6,9.2,90.8,1.6,2.6,2.2,2.7,1201,704,26.8,3.3,1357,3,258,1929,4,17,314416,188.33,3,35,20,52,suppressed,suppressed,suppressed,suppressed,suppressed,90063,4,4.1,"P,B,G,C",95.1,1466,92.5,6.2
111,Eastmorland Community Association,No,719,1623,81.2,3166,6,16.3,14.1,89.6,2.6,1,2.4,4.4,1561,810,19.4,5,1622,15,0,1953,10,56,144840,121.47,17,144,105,101,suppressed,suppressed,suppressed,suppressed,suppressed,55883,28,9.4,"P,B,G,C",87.9,2901,96,6.5
153,Burr Oaks Neighborhood Association,No,249.5,768,19.9,1744,9.7,30.4,3.8,20.1,19.1,22.2,4.6,34,645,362,35.3,13.4,767,121,0,1962,7,50,137022,86.84,50,91,278,116,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.2,1845,N/A,5.9
175,Greystone,No,36.3,112,91.4,283,10.8,32.1,5,80.8,0,10.3,3.8,5,105,77,47.6,8.8,128,0,0,2004,1,1,362467,130.52,0,0,0,2,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,0,0,N/A,8
146,Midvale Heights Community Association,Yes,857.2,1569,84.6,3479,5.6,20.1,18.3,83.6,2.9,5.6,2.6,5.3,1518,996,25,3.9,1570,6,0,1958,4,39,228923,122.03,8,94,51,36,suppressed,suppressed,suppressed,suppressed,suppressed,75200,16,5.5,"P,B,G,C",88,3186,96.2,7.1
