geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
109,Sprecher East Neighborhood Association,No,699.4,969,68.2,2207,8.8,23.6,6.0,86.2,4.4,3.1,2.9,3.4,931,587,31.1,5.7,1201,2,0,2003,5,3,230419,117,1,30,16,6,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,66106,14,4.1,"B,C",56,75,97.3,6.9
177,Summit Woods Neighborhood Association,No,108.2,422,53.2,721,6.8,14.2,12.7,85.1,5.8,2.9,2.2,4.0,377,175,16.6,4.0,416,6,0,1966,2,6,209061,119,1,16,9,12,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,G,90.9,427,N/A,6.2
117,Spring Harbor Neighborhood Association,No,372.5,1163,69.4,2224,6.4,17.4,12.2,78.0,5.2,5.0,3.4,8.4,1087,554,20.7,4.6,1247,80,0,1959,2,20,314048,163,7,44,32,12,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",91.2,804,N/A,4.7
1,City of Madison,No,50119.8,108556,49.3,232663,5.8,17.5,9.6,75.6,7.1,7.3,3.1,6.9,102252,47716,20.9,5.3,108526,6416,5290,1972,357,3072,240319,127,1767,9582,9474,10897,98.2,93.1,85.5,6.3,52.6,46.4,53464,4613,6.3,"H,P,B,G,C",63.7,12468,87.2,6.6
167,Country Grove Neighborhood Association,No,130.9,321,96.5,917,6.0,31.9,5.6,84.7,1.7,6.8,2.2,4.7,319,262,44.8,2.3,305,0,0,1996,1,1,315901,116,0,11,3,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,54.5,120,N/A,6.7
148,Bay Creek Neighborhood Association,No,368.2,1316,44.9,2401,4.8,14.8,11.1,83.6,5.0,2.7,4.2,4.6,1266,494,15.7,3.2,1325,173,0,1947,0,27,233672,157,11,115,73,61,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,63429,0,4.2,"H,P,B,G,C",98.6,1386,88.8,5.7
126,Capitol Neighborhoods,No,456.1,8003,10.8,13844,0.7,1.4,5.2,82.0,5.8,5.2,2.7,4.3,7299,742,1.4,0.4,8014,744,0,1969,6,318,274804,164,202,849,1067,310,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,26628,210,4.9,"P,B,G,C",99.1,5398,62.6,7.3
147,Westmorland Neighborhood Association,No,342.6,1031,87.4,2207,6.2,22.2,15.0,91.7,0.5,3.9,2.2,1.7,972,594,28.9,4.6,1093,1,0,1951,1,5,261800,148,1,18,8,20,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,75190,8,9.2,"P,G,C",99.5,1397,94.5,6
152,High Point Estates,No,145.5,338,68.5,853,6.4,28.8,8.4,71.8,7.4,14.0,1.9,4.9,325,227,36.9,5.9,309,7,0,1992,1,2,424915,120,2,19,0,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",42.2,266,N/A,6.4
351,Rocky Bluff Neighborhood Association,No,88.8,585,26.4,1038,3.6,9.6,5.6,76.8,2.4,12.1,4.2,4.5,564,167,11.1,3.5,532,6,32,1956,1,5,240002,160,4,19,10,27,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,2587,N/A,5
114,Marquette Neighborhood Association,No,453.2,2627,37.6,4909,4.1,12.8,4.7,88.8,3.1,1.8,3.1,3.3,2517,865,15.4,4.5,2699,194,0,1916,7,94,321327,196,28,177,168,121,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,2390,N/A,7.1
111,Eastmorland Community Association,No,719.0,1623,81.2,3166,6.0,16.3,14.1,89.6,2.6,1.0,2.4,4.4,1561,810,19.4,5.0,1622,15,0,1953,13,56,148582,124,21,183,117,75,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,58161,34,9.5,"P,B,G,C",88.2,2901,96,5.9
134,Sauk Creek Neighborhood Association,No,175.9,443,67.7,1029,5.6,23.2,11.6,79.5,3.5,11.7,2.0,3.3,430,279,29.6,3.3,459,0,0,1990,1,10,355321,115,2,13,1,5,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",100,352,N/A,7.4
174,Hawk's Landing Neighborhood Association,No,557.5,639,78.0,1503,5.9,29.7,6.2,85.6,1.8,9.4,1.9,1.2,573,413,36.6,2.1,746,0,0,2004,1,2,540452,134,1,17,2,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,107026,25,0.7,None,0,0,100,6.8
115,Tenney-Lapham Neighborhood Association,No,306.0,2231,29.5,4149,2.9,9.5,3.4,87.1,4.3,2.0,2.6,4.1,2113,541,9.8,2.5,2535,155,0,1917,4,111,291169,168,21,143,113,79,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,53070,64,6.6,"B,G,C",100,2533,90.4,8
151,Bram's Addition Neighborhood Association,No,105.2,505,21.1,1282,8.4,30.9,8.5,24.4,34.7,12.2,3.8,24.9,481,233,31.0,13.0,463,157,0,1965,4,32,115803,95,27,105,155,52,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,1622,N/A,6.6
121,Elvehjem Neighborhood Association,No,700.0,1720,79.4,4165,6.3,21.9,15.2,81.8,6.1,2.5,3.6,6.1,1639,1171,27.3,5.6,1726,29,0,1968,8,43,178188,102,22,81,100,52,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,76995,21,5.2,"P,B,G,C",94.3,331,100,6.6
158,Park Ridge Neighborhood Association,No,30.3,211,43.1,488,11.6,30.1,2.2,48.3,31.2,1.4,5.3,13.8,201,94,30.2,11.4,210,12,0,1986,0,36,128922,82,2,23,54,11,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,266,N/A,5.8
176,Dudgeon-Monroe Neighborhood Association,No,309.3,1257,73.3,3181,4.7,18.5,9.2,90.8,1.6,2.6,2.2,2.7,1203,704,26.7,3.3,1381,3,265,1930,3,22,328679,197,6,48,11,49,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,87075,5,2.5,"P,B,G,C",95.2,1464,90.2,6.1
181,Monona Bay Neighborhood Association,No,85.4,653,9.5,1138,4.5,14.7,7.5,53.4,9.8,25.5,2.6,8.7,627,162,11.3,3.8,587,438,0,1971,0,6,268494,178,12,42,81,35,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G",93.6,2144,N/A,7.2
120,Richmond Hill Homeowners Association,No,63.6,144,89.5,395,4.6,26.3,11.1,85.3,5.3,3.6,1.8,3.9,142,113,39.1,4.2,139,0,0,1997,0,3,350148,114,0,3,1,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,B,69.8,80,N/A,8
146,Midvale Heights Community Association,No,857.2,1569,84.6,3479,5.6,20.1,18.3,83.6,2.9,5.6,2.6,5.3,1518,996,25.0,3.9,1630,6,0,1958,1,45,238687,127,7,76,31,40,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,75897,23,7,"P,B,G,C",88.3,3256,94.7,7.2
163,Skyview Meadows Neighborhood Association,No,80.0,229,78.5,532,7.8,20.8,4.7,81.4,5.3,6.2,2.2,4.9,220,150,30.1,3.4,267,1,0,1987,1,4,199613,103,0,11,8,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,99.5,213,N/A,6.8
99,Mayfair Park Neighborhood Association,No,355.4,252,53.8,593,7.8,22.3,9.4,64.9,8.1,4.1,3.9,19.0,245,135,24.9,7.3,254,6,0,1958,1,4,142867,106,32,127,105,77,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",63.7,1430,N/A,6.4
136,Regent Neighborhood Association,No,373.2,2890,40.2,6344,3.4,12.4,6.2,85.2,1.2,8.6,2.4,2.6,2831,997,15.4,2.0,2961,1,0,1931,2,54,412188,201,23,112,87,58,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,55074,62,3,"H,P,B,G,C",100,4243,83.8,6.4
142,Faircrest Neighborhood Association,No,206.2,558,56.9,1191,3.5,19.5,15.7,80.2,2.5,10.6,2.9,3.8,543,317,25.2,3.7,558,3,0,1965,0,1,304143,118,1,20,12,13,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",96.2,578,N/A,6.2
130,Wisconsin Co-op Housing Association,No,74.0,156,96.5,355,1.9,21.2,16.2,91.9,0.4,2.9,3.3,1.4,152,104,28.3,5.0,177,1,0,1950,2,0,217009,133,0,2,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,628,N/A,5.6
156,Capitol View Neighborhood Association,No,122.2,153,47.5,388,11.0,29.5,5.9,40.5,14.5,26.7,2.4,15.8,149,77,28.8,5.6,150,3,0,1966,3,9,143684,114,3,7,14,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",85.8,312,N/A,5.2
93,Nobel Park Neighborhood Association,No,63.9,167,82.3,353,6.3,20.7,9.4,72.2,7.4,1.4,5.1,13.9,158,87,22.2,4.4,167,6,0,1955,2,16,134558,112,3,15,14,10,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,484,N/A,7.6
94,Berkley Oaks Neighborhood Association,No,128.1,655,31.3,1399,8.6,27.1,10.6,48.8,21.1,15.9,4.9,9.4,626,297,24.8,12.8,711,255,0,1963,2,54,135711,100,29,58,130,26,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,504,N/A,6.8
85,Sherman Village Neighborhood Association,No,311.8,1016,90.2,2283,6.0,19.8,19.3,82.2,5.5,3.0,2.9,6.3,979,613,21.3,3.7,962,7,0,1965,14,53,145948,99,9,33,32,11,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,98.5,246,N/A,7.1
353,Twin Oaks Neighborhood Association,No,26.2,56,91.0,191,10.0,42.6,0.9,52.3,12.4,10.0,12.0,13.3,54,44,57.8,22.6,114,4,0,2005,1,0,172713,119,0,10,5,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,60,N/A,8
113,Rolling Meadows Neighborhood Association,No,332.5,1004,80.9,2366,6.7,20.7,15.0,84.1,5.5,1.5,2.8,6.1,975,652,26.8,7.8,1041,31,0,1966,8,37,162302,104,13,53,35,30,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.1,471,N/A,6
355,Indian Springs Neighborhood Association,No,72.6,223,88.9,603,7.8,29.2,4.4,63.3,8.4,9.4,2.2,16.7,218,150,39.2,4.8,235,0,0,1991,3,7,174789,111,0,7,1,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,58.6,0,N/A,7.1
145,Oakbridge Community Neighborhood Association,No,44.0,162,73.2,343,5.1,19.7,6.5,81.5,3.7,10.1,1.8,2.9,159,97,26.2,4.1,144,0,0,1984,1,21,219094,118,1,4,2,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",100,140,N/A,4.9
155,Greentree Neighborhood Association,No,299.2,721,79.0,1841,5.8,22.7,15.0,76.7,10.9,3.3,3.4,5.7,697,539,29.7,7.8,717,18,0,1967,3,31,218156,94,10,70,72,18,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",99.7,762,N/A,6.5
135,Junction Ridge Neighborhood Association,No,458.8,976,38.6,1628,3.7,10.5,30.9,80.6,1.5,13.2,1.5,3.2,904,347,10.3,2.1,896,0,0,1999,1,5,249965,114,6,53,22,48,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",66,657,N/A,7.4
166,Glacier Ridge Neighborhood Association,No,195.4,576,86.4,1385,11.1,27.9,2.7,83.3,2.8,8.1,1.6,4.3,551,363,39.7,3.1,579,0,0,2002,2,14,243540,117,0,8,3,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,7.2,0,N/A,7.4
112,Heritage Heights Community Association,No,412.3,850,94.6,2240,4.9,20.5,15.1,89.9,2.5,1.7,1.8,4.0,842,691,29.0,2.8,816,5,0,1975,5,15,190865,96,2,51,22,11,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",94.4,236,N/A,5.5
123,Lake Edge Neighborhood Association,No,458.3,1106,82.9,2380,6.1,18.0,12.9,88.5,2.5,0.5,3.1,5.4,1064,603,21.7,4.3,1131,4,0,1951,7,68,163222,115,14,63,63,35,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",86.9,701,N/A,3.9
101,Ridgewood Neighborhood Association,No,409.8,1548,53.4,3989,9.3,27.0,3.8,57.5,15.5,12.1,4.9,9.9,1496,936,35.0,10.5,1704,124,0,1995,12,39,197907,103,11,85,66,28,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,69.5,463,N/A,6.7
131,Parkwood Hills Community Association,No,295.9,538,90.0,1274,3.7,23.5,18.3,87.5,2.0,5.0,2.1,3.4,521,390,28.9,1.9,469,0,0,1972,1,3,331059,113,5,35,62,32,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",95.9,868,N/A,6.1
128,Walnut Grove Homeowners Association,No,152.3,398,87.5,981,5.5,21.3,15.4,80.7,3.4,9.4,1.8,4.6,390,298,28.6,5.1,351,1,0,1977,1,12,275148,106,1,11,9,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,412,N/A,5.6
