geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
95,Mendota Hills Neighborhood Association,No,54.7,156,94.6,364,6.1,17.7,16.6,82.6,4.2,2.5,2.8,8,154,106,21.8,1.8,151,0,1959,2,4,187764,103.34,1,10,5,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G",100,258,N/A,5.5
170,Stone Meadows Neighborhood Association,No,352.7,1175,89.1,3118,12.4,27.4,6.3,78.8,3.7,9.7,2.5,5.4,1134,795,42.9,4.4,1207,0,2000,5,19,250292,133.79,5,47,10,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",62.2,135,N/A,7.3
362,Crawford-Marlborough-Nakoma Neighborhood Association,N/A,338.4,996,90.1,2429,6.9,24.5,13.7,89.7,4.3,1.8,N/A,2.5,957,692,33.5,4.5,989,0,1941,0,12,422316,193.79,3,49,14,20,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",99.5,1206,N/A,6.2
359,Madison West Neighborhood Association,No,2706.8,5747,49.4,11657,7.6,21,5.1,72.7,5.8,12.4,2.6,6.4,5352,2643,24.7,4.4,7180,0,2001,12,69,321512,133.27,28,222,240,91,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",39,959,N/A,7.6
175,Greystone,No,36.3,112,91.4,283,10.8,32.1,5,80.8,0,10.3,3.8,5,105,77,47.7,8.8,128,0,2004,0,0,350200,134.07,0,0,0,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,0,0,N/A,7.6
357,Secret Places Neighborhood Association,No,147.6,174,78.8,473,15,33.5,2.3,84.1,2.3,5.6,3.6,4.4,165,138,55.4,6.9,367,0,2009,0,1,333350,169.82,1,0,0,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,0,0,N/A,7.5
167,Country Grove Neighborhood Association,No,130.9,321,96.5,917,6,31.9,5.6,84.7,1.7,6.8,2.2,4.7,319,262,44.8,2.3,313,0,1996,0,0,339137,122.77,0,7,5,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,55.6,150,N/A,7.4
177,Summit Woods Neighborhood Association,No,108.2,422,53.2,721,6.8,14.2,12.7,85.1,5.8,2.9,2.2,4,377,175,16.6,4,416,0,1966,1,5,237598,134.16,3,10,17,12,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",92.1,437,N/A,5.8
144,Tamarack Trails Community Condominium Association,No,63.8,238,62.8,464,10.5,26.4,25.5,58,23,6,5.6,7.5,224,137,30.1,21.8,320,0,1978,1,0,245444,119.35,0,2,1,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",93.2,270,N/A,8.1
105,Eken Park Neighborhood Association,No,226.5,1366,50.4,2505,6.2,15,6.8,78.3,8.9,2,4,6.7,1282,518,16.3,5.5,1372,0,1948,2,150,157623,140.64,15,65,137,29,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.5,2495,N/A,6.9
