geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,prd_viol,avg_huval,sqft_val,avg_c_hval,sqft_c_val,avg_n_hval,sqft_n_val,crm_pers,crm_prop,crm_scty,crash,prmry_ems,prmry_fire,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,cc_prvdrs,cc_cpcty,cc_enrlmt,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
162,Highland Manor Home Owners Association,No,78.3,157,92.2,344,5.8,20,16.5,61.5,2.4,1.2,3.7,31.2,151,80,21.5,4.3,364,0,0,1971,0,N/A,N/A,N/A,N/A,N/A,N/A,2,10,7,3,60,24,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,0,0,0,N/A,N/A,N/A,None,48.7,317,N/A,7
178,Leopold Neighborhood Association,No,121.7,553,29,1106,10.3,27.1,5.3,45,24.5,6.5,4.2,19.7,499,243,29.3,17.1,540,117,0,1981,45,N/A,N/A,109275.7,98.44,N/A,N/A,12,38,102,41,150,66,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,8,207,56,N/A,N/A,N/A,"P,B,G",100,446,N/A,7.2
350,Marbella Condominium Association,No,20.1,349,24.4,463,4.8,10.1,23,78.8,2.9,14.6,1.3,2.4,292,94,11.1,3.8,318,0,0,1996,0,N/A,N/A,100857.6,94.44,N/A,N/A,0,2,1,10,52,24,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,46,0,N/A,N/A,N/A,"P,B,G",100,516,N/A,7.4
137,South Campus Property Owners Association,No,113.2,1528,0,4194,0,0.1,0.3,80.5,2.6,11.9,2.3,2.7,1448,28,0.1,0.1,1929,111,182,1992,4,N/A,N/A,N/A,N/A,293520,184.69,18,121,70,135,317,384,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,7,242,193,16053,49,7.3,"P,B",100,6201,39.3,7
348,State-Langdon Neighborhood Association,No,151.6,3313,0.3,10144,0.2,0.3,0.2,78.9,2.4,11.8,2.6,4.3,3151,95,0.3,0.1,4381,0,2634,1969,48,N/A,N/A,N/A,N/A,351611.1,240.83,106,343,593,174,774,747,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,5,106,97,13407,39,6.3,"P,B,G",100,7363,41.4,7.8
349,Majestic Oaks Neighborhood Association,No,82.5,334,94.8,467,3.8,8.8,23.2,86.7,2,1.9,3.4,6,309,87,8.2,4.7,310,0,0,1935,1,N/A,N/A,N/A,N/A,N/A,N/A,3,31,39,15,102,39,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,3,170,144,N/A,N/A,N/A,"P,B",99.4,226,N/A,3.2
108,Worthington Park Neighborhood Association,No,47.7,288,22.8,701,11.5,38.6,2.5,30.7,47,9.2,3.6,9.5,247,156,45.8,30.1,283,52,0,1959,3,159668,146.44,N/A,N/A,150500,140.18,3,28,36,14,84,32,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,3,92,4,N/A,N/A,N/A,P,98.4,1183,N/A,4.9
143,Wexford Ridge Neighborhood,No,20.8,178,25.8,400,18.6,39.9,10.7,27.3,43.9,6.5,9,13.3,175,117,51.9,43.9,468,246,0,1976,0,N/A,N/A,N/A,N/A,N/A,N/A,3,22,40,8,52,24,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,230,65,N/A,N/A,N/A,None,100,135,N/A,8.4
358,Liberty Place Neighborhood Association,No,74,153,88.5,432,14.5,30.7,0.7,65.7,10.8,11.2,4.6,7.7,147,115,45,6.6,198,0,0,2005,3,253999,139.69,N/A,N/A,245128.6,133.05,1,3,4,4,17,8,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,78,13,N/A,N/A,N/A,None,100,93,N/A,7
118,Wexford Village Homeowners Association,No,407.6,1231,60.7,2506,4.8,19.7,15.6,84.3,1.6,8.1,2.7,3.3,1164,658,22.5,1.8,1150,0,0,1992,5,341593,133.29,285957.5,166.92,288159.4,132.63,1,22,10,29,266,93,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,8,406,188,N/A,N/A,N/A,"B,G",75.7,352,N/A,6.7
