"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"52","Spring Harbor","No","496.8","1326","69.9","2531","6.2","17.3","12.6","78.6","5.2","5","3.4","7.9","1231","634","20.5","4.5","1468","61","0","1962","19","411205","200.9","104564.6","118.1","435570.3","223.7","6","31","17","51",174,105,"90.6","87.6","84.2",""suppressed"","60.8","9.3","30.9",7,187,152,"75485","15","6.5","G","66.2","1274","92.1","4.6"
"21","Gompers","No","454.4","1449","90.1","3386","6.4","21.2","16.4","80.1","6.9","3.2","3.2","6.6","1401","924","24.2","4.6","1490","5","0","1966","27","199377","135.1","240348.5","138","191501.1","136.9","8","32","30","27",425,134,"90.2","87","80.9","5.5","35.5","2.7","56.5",5,118,104,"71031","49","2.5","None","87.9","504","94.8","6.6"
"27","Sycamore","No","803.4","2213","44.2","5082","8.5","24.6","4.7","60.8","14.3","10.3","5","9.5","2081","1132","29.6","9.5","2338","73","0","1995","40","246335","127","136173.4","108.8","230000","128.4","13","435","118","54",412,144,"91.6","87.6","70.6","6.9","29.7","4.8","61.6",6,223,171,"63969","106","2","P,B,G","64.2","468","89.9","7.3"
"3","Tenney Park","No","355.1","2930","26.7","5258","3.5","10.4","3.5","83.9","5.7","2.5","2.6","5.2","2760","710","10.7","3.6","4409","284","0","1956","75","378046","214.7","183173.2","330.5","315686.6","203","47","220","192","251",773,436,"88.9","81.2","75.1","3.8","51.4","8.7","51.8",8,338,223,"56252","28","2.5","B,G","93.2","2720","88.5","6.7"
"7","Emerson-Eken","No","761.8","2567","52.4","4804","6.7","15.5","6.4","80.8","7.5","1.8","3.6","6.3","2430","983","17.5","5.4","2580","205","0","1939","69","206829","174.6","160881.5","102.8","184733.9","166.9","36","179","231","277",673,362,"90.2","76","81.8","5.1","55.1","3.5","48.6",10,291,119,"54357","54","5.2","P,B,G","98.9","4255","89","6.6"
"9","Truax Field","No","2349.8","953","52.9","1724","7.4","20.2","9.8","61.1","14.4","6.8","5.2","12.5","877","363","20.9","12","966","157","0","1986","28","186352","131.7","153930.8","109.4","180221.2","135.5","20","122","151","240",542,244,""suppressed"","77.2","48.2","14.5","9.7","9.7","88.7",10,513,377,""N/A"",""N/A"",""N/A"","P,B,G","91.4","1682",""N/A"","6.2"
"55","Marlborough","No","274.6","1033","27.6","2358","11.6","34.5","4.1","32.2","33.7","5.1","4.9","24.2","893","525","39.6","21.3","1036","207","0","1964","71","168392","139.9","45455.6","60.4","166935.5","132.7","28","176","148","48",258,118,"89.4","78.6","37.4","22.9","13.9","6","89.7",9,460,138,""N/A"",""N/A"",""N/A"","B,G","95.6","705",""N/A"","6.1"
"18","Buckeye","No","1052.7","2486","82.8","6208","6.2","22.3","12.1","82.9","5.6","2.6","3.1","5.8","2386","1771","29.1","5.3","2515","3","0","1978","35","232278","129.7","263010.5","170.9","217293.2","131","7","75","69","68",564,179,"91.5","86.9","87","3.7","50.1","3.7","38.6",15,564,243,"81604","20","6.7","P,B,G","91.7","331","94.3","6.3"
"60","Walnut Grove","No","656.9","2562","49.8","5001","7.2","20.5","12.9","66.7","9","15.9","2.8","5.5","2417","1299","24.2","8","2619","342","0","1985","8","327912","129.9","164321.6","144.4","274011.9","128.6","26","119","149","122",551,170,"89.9","88.5","80.3","4.7","57","5.2","46.8",9,506,176,"77809","275","6.9","P,B,G","76.1","868","87.6","7.2"
"63","Highpoint","No","1179.5","4116","38.9","7740","6.3","16.7","10.9","73","3.9","13.9","2.5","6.7","3857","1622","19.3","3.8","4955","120","0","2000","16","349655","140.3","165278.3","139.1","310609.8","136.5","28","238","159","199",685,408,"88.7","85.2","83.4","3.5","61.1","4","38",14,1001,488,"72770","41","2.3","P,B,G","75.7","1034","95.1","6.7"
